pdb,subcat,detail
1vzk,ligand,mg
1woe,ligand,
1wqy,free,
1wv5,metal,mg
1wv6,metal,sr
1xa2,metal,co
1xam,metal,co
1xcs,ligand,ba co
1xcu,ligand,ba co na
1xj9,anology,pna
1xjx,free,
1xjy,free,
1xuw,free,
1xux,free,
1y7f,metal,ba
1y84,ligand,mg
1y86,free,
1y8l,free,
1y8v,free,
1y9f,free,
1y9s,free,
1yb9,ligand,
1ybc,metal,sr
1z3f,ligand,co
1z5t,ligand,ti
1z7i,ligand,
1z8v,ligand,
1zew,metal,na
1zex,free,
1zey,metal,na
1zez,metal,ca
1zf0,metal,ca
1zf1,free,
1zf2,free,
1zf3,metal,ca
1zf4,metal,na
1zf5,free,
1zf6,metal,ca na
1zf7,metal,ca na
1zf8,free,
1zf9,metal,na
1zfa,metal,ca na
1zfb,metal,ca
1zfc,free,
1zfe,free,
1zff,free,
1zfg,free,
1zfh,free,
1zfm,free,
1zje,free,
1zjf,free,
1zjg,ligand,co
1zna,free,
1zph,ligand,mg
1zpi,ligand,mg
200d,free,
206d,ligand,
208d,metal,mg
210d,ligand,
211d,ligand,pt
212d,metal,co
213d,free,
215d,ligand,
218d,free,
220d,metal,ba
221d,free,
223d,free,
224d,ligand,
227d,ligand,
231d,ligand,na
232d,metal,co
233d,free,
234d,ligand,
235d,ligand,
236d,ligand,
237d,free,
238d,free,
239d,free,
240d,free,
242d,free,
243d,free,
244d,metal,ca na
245d,ligand,
249d,metal,ca
250d,free,
251d,free,
252d,free,
253d,metal,mg
254d,free,
256d,free,
257d,free,
258d,ligand,na
260d,free,
261d,ligand,
263d,ligand,
264d,ligand,
265d,metal,mg
266d,metal,mg
267d,ligand,mg
268d,ligand,mg
269d,ligand,mg
270d,metal,mg
271d,metal,mg
272d,free,
274d,ligand,
275d,free,
276d,ligand,
277d,ligand,
278d,ligand,
279d,free,
281d,free,
282d,ligand,
284d,metal,ba na
285d,free,
286d,free,
287d,free,
288d,ligand,
289d,ligand,
28dn,free,
290d,free,
291d,metal,mg
292d,ligand,mg na
293d,ligand,mg na
294d,free,
295d,free,
296d,ligand,
297d,free,
298d,ligand,
2a7e,free,
2ana,free,
2avh,metal,k
2avj,metal,k
2axb,free,
2b0k,ligand,
2b1b,metal,mg
2b1c,metal,mg
2b1d,metal,co mg
2b2b,ligand,ca na
2b3e,ligand,mg
2bna,free,
2d25,metal,mg
2d34,ligand,mg
2d47,ligand,
2d94,free,
2d95,free,
2dbe,ligand,
2dcg,ligand,mg
2des,ligand,mg na
2dlj,free,
2dnd,ligand,
2dp7,ligand,k mg
2dpb,ligand,k
2dpc,ligand,co mg
2dyw,ligand,na
2dz7,metal,mg
2elg,ligand,mg na
2et0,ligand,fe
2f8w,ligand,
2fih,metal,mg
2fii,metal,mg
2fij,metal,co
2fil,metal,co
2gb9,ligand,sr
2gjb,ligand,k
2got,free,
2gpx,metal,ba
2gvr,ligand,mg
2gw0,metal,ca na
2gwa,ligand,
2gwe,metal,k
2gwq,metal,k
2gyx,ligand,mg
2h05,free,
2h0n,anology,hna
2h9s,anology,hna
2hbn,metal,ti
2hc7,free,
2hri,ligand,k
2hto,metal,ru
2htt,metal,ru
2i2i,ligand,mg
2i5a,ligand,mg
2ie1,ligand,
2jja,anology,gna
2nlm,ligand,mg
2nsk,free,
2o1i,ligand,
2o4f,metal,na li
2obz,free,
2oks,metal,ca
2orf,metal,na
2org,free,
2orh,metal,na
2p8d,metal,co
2pis,metal,mg
2pkv,free,
2pl4,free,
2pl8,ligand,
2plb,ligand,
2plo,metal,na
2qef,free,
2qeg,free,
2rf3,ligand,zn
2wna,anology,gna
2xc6,anology,gna
302d,ligand,mg
303d,ligand,mg
304d,ligand,
305d,ligand,mg
306d,ligand,mg
307d,free,
308d,ligand,mg
309d,free,
311d,ligand,
312d,metal,co mg
313d,metal,co mg
314d,metal,co mg
317d,free,
318d,free,
319d,ligand,
