pdb,subcat,detail
3gx7,ligand,mg
3hga,free,
3ibk,metal,k
3iqn,ligand,ba k
3iqp,metal,ba
3iqr,ligand,ba
3ivn,metal,mg
3jxq,metal,mg
3jxr,free,
3k1v,ligand,ca
3l0u,metal,k mg
3la5,ligand,mg
3loa,metal,mg
3mei,metal,mg
3mij,ligand,k
3mja,free,
3mjb,free,
3nd3,metal,k na
3nd4,metal,k mg na
3nj6,free,
3nj7,free,
3npn,ligand,
3npq,ligand,co
3ok2,anology,ana
3ok4,anology,ana
3owi,ligand,mg
3oww,ligand,mg 
3owz,ligand,ir mg
3oxb,metal,mg
3oxd,metal,mg
3oxe,ligand,mn mg
3oxm,ligand,ti mg
3p22,free,
3p4a,metal,sr mg
3p4b,metal,ba
3p4c,metal,sr
3p4d,free,
3p59,metal,co mg
3pdr,metal,mn k
3q3z,ligand,mg
3q50,ligand,
3q51,metal,mg
3r1c,free,
3r1d,free,
3r1e,metal,ca
3rg5,free,
3rkf,ligand,co
3s49,metal,k
3s4p,ligand,
3s7c,free,
3s8u,free,
3sd3,ligand,ir
3sj2,free,
3ski,ligand,mg
3skl,ligand,ir mg
3skw,ligand,cs mg
3skz,ligand,mg
3slm,ligand,mg
3slq,ligand,
3suh,ligand,na
3sux,ligand,na
3syw,free,
3szx,free,
3td0,metal,mg
3td1,ligand,
3tra,metal,mg
3tzr,ligand,mg
3vrs,metal,mn k
3wru,ligand,k
402d,free,
405d,free,
406d,free,
409d,free,
413d,free,
420d,metal,na
422d,free,
429d,metal,mg 
430d,metal,mg 
433d,free,
434d,metal,sr na
435d,metal,na
437d,metal,mg na
438d,free,
439d,metal,ba
462d,metal,mg
464d,metal,sr na
466d,metal,sr na
468d,metal,mg
469d,metal,mg
470d,metal,mg
471d,metal,mg
472d,free,
480d,free,
483d,free,
4aob,ligand,ba k na
4b5r,ligand,ba k
4c40,free,
4cs1,metal,mg
4e48,metal,k
4e58,ligand,
4e59,free,
4e5c,free,
4e6b,free,
4e8n,ligand,mg nh4
4e8q,ligand,ti mg 
4en5,metal,ti mg
4ena,metal,cs mg
4enb,metal,ir k mg
4enc,metal,k mg
4erj,ligand,
4erl,ligand,
4f8u,ligand,
4f8v,ligand,
4far,ligand,k mg
4fau,ligand,mg
4faw,ligand,k mg
4fe5,ligand,co
4fej,ligand,co
4fel,ligand,co
4fen,ligand,co
4feo,ligand,co
4fep,ligand,co
4fnj,metal,mg
4frg,ligand,ir mg
4g6p,metal,co
4g6r,metal,mg
4g6s,metal,co
4gpw,ligand,
4gpx,ligand,
4gpy,ligand,
4iqs,free,
4j50,free,
4jab,metal,sr
4jah,metal,k
4jf2,ligand,cs mg
4jiy,ligand,fe
4jrc,metal,mg
4jrd,metal,nh4
4jrt,free,
4k27,metal,mg
4k31,ligand,
4k32,ligand,
4kyy,metal,k
4l81,ligand,co mg
4lvv,ligand,
4lvw,ligand,
4lvx,ligand,
4lvy,ligand,
4lvz,ligand,
4lw0,ligand,
4lx5,ligand,mg
4lx6,ligand,mg
4mce,free,
4mcf,free,
4ms9,metal,sr
4msb,metal,sr
4msr,metal,sr
4nfo,ligand,
4nfp,ligand,
4nfq,free,
4nlf,free,
4nmg,free,
4nxh,free,
4nya,ligand,mg
4nyd,ligand,mn mg
4o41,metal,sr
4oji,metal,mg
4p20,ligand,
4p3s,ligand,
4p3t,free,
4p3u,free,
4p43,metal,ca na
4p5j,ligand,ir mg
4p95,ligand,mg na
4p97,metal,ca
4p9r,metal,ir mg
4pcj,metal,mg
4pco,metal,co
4pdq,ligand,mg
4pqv,metal,mg
4qlm,ligand,mg
4qln,ligand,mg
4rbq,metal,k
4rby,metal,sr
4rbz,free,
4rc0,free,
4rge,metal,mg
4rj1,metal,sr ca na
4rkv,metal,sr ca na
4rne,metal,sr ca na
4rum,metal,sr co k mg
4rzd,ligand,
4tna,metal,mg
4tra,metal,mg
4ts0,ligand,ba k
4ts2,ligand,k mg
4tzx,ligand,mg
4tzy,ligand,sr mg
4u34,free,
4u35,free,
4u37,free,
4u38,free,
4u3l,metal,ca
4u3o,metal,mn
4u3p,metal,sr
4u3r,metal,co
4u47,metal,tb
4u78,metal,cu ca
4wcp,free,
4wcq,ligand,
4wfl,metal,co mg
4xk0,metal,ba k
4xnr,ligand,mg
4xw0,free,
4xw1,free,
4xw7,ligand,ir mg
4xwf,ligand,ir mg
4y1i,ligand,ba mn mg 
4y1j,ligand,sr mg
4y1m,ligand,sr mg
4y1n,metal,ir k mg
4y1o,metal,k mg
4y27,free,
4yaz,ligand,k mg
4yb0,ligand,k mg
4yn6,free,
4znp,ligand,mg
5ay2,metal,ag
5ay3,free,
5ay4,metal,na
5btm,metal,mg na
5btp,ligand,k mg
5bws,ligand,
5c45,ligand,k mg
5c5w,free,
5ch0,free,
5cnr,free,
5d5l,ligand,cs mg
5d8t,metal,co
5d99,free,
5da6,metal,k
5der,free,
5dhb,metal,mg
5dhc,ligand,mg
5do5,free,
5dun,metal,k mg
5e54,metal,mg
5eao,metal,mg
5ew4,metal,sr k cl mg
5ew7,metal,ba k mg
5fj0,metal,mg
5fj1,metal,mg na
5fjc,ligand,ba k mg na
5fk1,ligand,ba na
5fk2,ligand,ba
5fk3,ligand,ba k
5fk4,ligand,ba
5fk6,ligand,ba k
5fkd,ligand,ba k
5fke,ligand,ba k na
5fkf,ligand,ba k na
5fkg,ligand,ba k na
5fkh,ligand,ba k na
5g4t,free,
5hbw,ligand,
5hbx,ligand,
5hby,ligand,mg
5hn2,metal,na
5hnj,metal,na
5hnq,free,
5k8h,metal,nh4
5kpy,ligand,ir mg
5krg,ligand,
5ktj,metal,co sm mg
5kvj,ligand,
5kx9,ligand,k mg
5l00,ligand,mg
5lys,metal,au mg na
5lyu,metal,mg na
5lyv,ligand,os mg
5m0h,free,
5swd,ligand,mg
5swe,ligand,
5t83,ligand,ir sr mg
5tdj,metal,sr
5tdk,metal,sr
5tpy,metal,mg
5u3g,ligand,k mg
6tna,metal,mg
